"~id",text,~label
151,Now is the winter of our discontent.,Tweet
152,For you and I are past our dancing days.,Tweet
153,"So wise so young, they say, do never live long.",Tweet
154,"An honest tale speeds best, being plainly told.",Tweet
155,Brevity is the soul of wit.,Tweet
156,In my mind's eye.,Tweet
157,How bitter a thing it is to look into happiness through another man's eyes!,Tweet
158,How bitter a thing it is to look into happiness through another man's eyes!,Tweet
159,"And it must follow, as the night the day, thou canst not then be false to any man.",Tweet
160,For you and I are past our dancing days.,Tweet
161,Do you think I am easier to be played on than a pipe?,Tweet
162,I like this place and willingly could waste my time in it.,Tweet
163,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",Tweet
164,Off with his head!,Tweet
165,For ever and a day.,Tweet
166,Brevity is the soul of wit.,Tweet
167,"I will speak daggers to her, but use none.",Tweet
168,For you and I are past our dancing days.,Tweet
169,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love.",Tweet
170,For ever and a day.,Tweet
171,Now is the winter of our discontent.,Tweet
172,I like this place and willingly could waste my time in it.,Tweet
173,How bitter a thing it is to look into happiness through another man's eyes!,Tweet
174,Off with his head!,Tweet
175,Wisely and slow; they stumble that run fast.,Tweet
176,The play 's the thing wherein I'll catch the conscience of the king.,Tweet
177,For you and I are past our dancing days.,Tweet
178,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",Tweet
179,"A little more than kin, and less than kind.",Tweet
180,Wisely and slow; they stumble that run fast.,Tweet
181,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
182,The king's name is a tower of strength.,Tweet
183,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry.",Tweet
184,I like this place and willingly could waste my time in it.,Tweet
185,Do you think I am easier to be played on than a pipe?,Tweet
186,The king's name is a tower of strength.,Tweet
187,This above all: to thine own self be true.,Tweet
188,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Tweet
189,True is it that we have seen better days.,Tweet
190,"An honest tale speeds best, being plainly told.",Tweet
191,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Tweet
192,Wisely and slow; they stumble that run fast.,Tweet
193,O! she doth teach the torches to burn bright.,Tweet
194,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
195,"An honest tale speeds best, being plainly told.",Tweet
196,The king's name is a tower of strength.,Tweet
197,"And it must follow, as the night the day, thou canst not then be false to any man.",Tweet
198,Wisely and slow; they stumble that run fast.,Tweet
199,"So wise so young, they say, do never live long.",Tweet
200,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love.",Tweet
201,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
202,Off with his head!,Tweet
203,Wisely and slow; they stumble that run fast.,Tweet
204,Brevity is the soul of wit.,Tweet
205,Tempt not a desperate man.,Tweet
206,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
207,Tempt not a desperate man.,Tweet
208,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",Tweet
209,The king's name is a tower of strength.,Tweet
210,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
211,For ever and a day.,Tweet
212,"Though this be madness, yet there is method in 't.",Tweet
213,"There is nothing either good or bad, but thinking makes it so.",Tweet
214,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Tweet
215,That it should come to this!.,Tweet
216,Brevity is the soul of wit.,Tweet
217,"An honest tale speeds best, being plainly told.",Tweet
218,This above all: to thine own self be true.,Tweet
219,Off with his head!,Tweet
220,"So wise so young, they say, do never live long.",Tweet
221,For ever and a day.,Tweet
222,For ever and a day.,Tweet
223,In my mind's eye.,Tweet
224,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
225,I like this place and willingly could waste my time in it.,Tweet
226,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
227,In my mind's eye.,Tweet
228,"There is nothing either good or bad, but thinking makes it so.",Tweet
229,"An honest tale speeds best, being plainly told.",Tweet
230,Off with his head!,Tweet
231,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
232,"When sorrows come, they come not single spies, but in battalions.",Tweet
233,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
234,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
235,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
236,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Tweet
237,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Tweet
238,"When sorrows come, they come not single spies, but in battalions.",Tweet
239,For ever and a day.,Tweet
240,What's in a name? That which we call a rose by any other name would smell as sweet.,Tweet
241,How bitter a thing it is to look into happiness through another man's eyes!,Tweet
242,"A little more than kin, and less than kind.",Tweet
243,I like this place and willingly could waste my time in it.,Tweet
244,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!.",Tweet
245,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
246,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",Tweet
247,Can one desire too much of a good thing?.,Tweet
248,I like this place and willingly could waste my time in it.,Tweet
249,"So wise so young, they say, do never live long.",Tweet
250,That it should come to this!.,Tweet
251,O! she doth teach the torches to burn bright.,Tweet
252,Not stepping o'er the bounds of modesty.,Tweet
253,"It is the east, and Juliet is the sun.",Tweet
254,True is it that we have seen better days.,Tweet
255,I like this place and willingly could waste my time in it.,Tweet
256,I like this place and willingly could waste my time in it.,Tweet
257,True is it that we have seen better days.,Tweet
258,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
259,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Tweet
260,"The fool doth think he is wise, but the wise man knows himself to be a fool.",Tweet
261,Wisely and slow; they stumble that run fast.,Tweet
262,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
263,What's in a name? That which we call a rose by any other name would smell as sweet.,Tweet
264,In my mind's eye.,Tweet
265,For ever and a day.,Tweet
266,True is it that we have seen better days.,Tweet
267,Tempt not a desperate man.,Tweet
268,"So wise so young, they say, do never live long.",Tweet
269,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",Tweet
270,In my mind's eye.,Tweet
271,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
272,How bitter a thing it is to look into happiness through another man's eyes!,Tweet
273,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
274,"An honest tale speeds best, being plainly told.",Tweet
275,Off with his head!,Tweet
276,"The lady doth protest too much, methinks.",Tweet
277,Off with his head!,Tweet
278,Brevity is the soul of wit.,Tweet
279,True is it that we have seen better days.,Tweet
280,Rich gifts wax poor when givers prove unkind.,Tweet
281,Wisely and slow; they stumble that run fast.,Tweet
282,For you and I are past our dancing days.,Tweet
283,That it should come to this!.,Tweet
284,A horse! a horse! my kingdom for a horse!.,Tweet
285,In my mind's eye.,Tweet
286,The king's name is a tower of strength.,Tweet
287,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Tweet
288,In my mind's eye.,Tweet
289,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
290,"The lady doth protest too much, methinks.",Tweet
291,Can one desire too much of a good thing?.,Tweet
292,"So wise so young, they say, do never live long.",Tweet
293,For ever and a day.,Tweet
294,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",Tweet
295,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!.",Tweet
296,Now is the winter of our discontent.,Tweet
297,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",Tweet
298,A horse! a horse! my kingdom for a horse!.,Tweet
299,The play 's the thing wherein I'll catch the conscience of the king.,Tweet
300,Wisely and slow; they stumble that run fast.,Tweet
301,A horse! a horse! my kingdom for a horse!.,Tweet
302,That it should come to this!.,Tweet
303,"There is nothing either good or bad, but thinking makes it so.",Tweet
304,I like this place and willingly could waste my time in it.,Tweet
305,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",Tweet
306,Rich gifts wax poor when givers prove unkind.,Tweet
307,"It is the east, and Juliet is the sun.",Tweet
308,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry.",Tweet
309,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude.",Tweet
310,Off with his head!,Tweet
311,Wisely and slow; they stumble that run fast.,Tweet
312,This above all: to thine own self be true.,Tweet
313,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",Tweet
314,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! .",Tweet
315,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",Tweet
316,"When sorrows come, they come not single spies, but in battalions.",Tweet
317,O! she doth teach the torches to burn bright.,Tweet
318,"So wise so young, they say, do never live long.",Tweet
319,Tempt not a desperate man.,Tweet
320,I like this place and willingly could waste my time in it.,Tweet
321,Wisely and slow; they stumble that run fast.,Tweet
322,"O Romeo, Romeo! wherefore art thou Romeo?.",Tweet
323,The king's name is a tower of strength.,Tweet
324,Not stepping o'er the bounds of modesty.,Tweet
325,For you and I are past our dancing days.,Tweet
326,For you and I are past our dancing days.,Tweet
327,That it should come to this!.,Tweet
328,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
329,What's in a name? That which we call a rose by any other name would smell as sweet.,Tweet
330,Off with his head!,Tweet
331,"The lady doth protest too much, methinks.",Tweet
332,A horse! a horse! my kingdom for a horse!.,Tweet
333,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",Tweet
334,In my mind's eye.,Tweet
335,What's in a name? That which we call a rose by any other name would smell as sweet.,Tweet
336,"I will speak daggers to her, but use none.",Tweet
337,"The world is grown so bad, that wrens make prey where eagles dare not perch.",Tweet
338,"A little more than kin, and less than kind.",Tweet
339,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,Tweet
340,That it should come to this!.,Tweet
341,"An honest tale speeds best, being plainly told.",Tweet
342,Can one desire too much of a good thing?.,Tweet
