"~id",~label,~from,~to
Tweet1236MentionsUser15,Mentions,1236,15
Tweet322MentionsUser25,Mentions,322,25
Tweet1340MentionsUser71,Mentions,1340,71
Tweet1424MentionsUser128,Mentions,1424,128
Tweet334MentionsUser2,Mentions,334,2
Tweet682MentionsUser48,Mentions,682,48
Tweet1306MentionsUser98,Mentions,1306,98
Tweet221MentionsUser75,Mentions,221,75
Tweet464MentionsUser102,Mentions,464,102
Tweet203MentionsUser149,Mentions,203,149
Tweet622MentionsUser100,Mentions,622,100
Tweet1275MentionsUser67,Mentions,1275,67
Tweet1453MentionsUser105,Mentions,1453,105
Tweet561MentionsUser99,Mentions,561,99
Tweet1499MentionsUser25,Mentions,1499,25
Tweet151MentionsUser39,Mentions,151,39
Tweet471MentionsUser85,Mentions,471,85
Tweet921MentionsUser7,Mentions,921,7
Tweet1209MentionsUser116,Mentions,1209,116
Tweet366MentionsUser103,Mentions,366,103
Tweet1251MentionsUser21,Mentions,1251,21
Tweet1033MentionsUser87,Mentions,1033,87
Tweet171MentionsUser84,Mentions,171,84
Tweet264MentionsUser101,Mentions,264,101
Tweet193MentionsUser80,Mentions,193,80
Tweet521MentionsUser27,Mentions,521,27
Tweet696MentionsUser65,Mentions,696,65
Tweet159MentionsUser104,Mentions,159,104
Tweet1265MentionsUser7,Mentions,1265,7
Tweet945MentionsUser64,Mentions,945,64
Tweet651MentionsUser34,Mentions,651,34
Tweet666MentionsUser79,Mentions,666,79
Tweet170MentionsUser107,Mentions,170,107
Tweet226MentionsUser117,Mentions,226,117
Tweet848MentionsUser68,Mentions,848,68
Tweet435MentionsUser38,Mentions,435,38
Tweet875MentionsUser42,Mentions,875,42
Tweet1258MentionsUser98,Mentions,1258,98
Tweet791MentionsUser106,Mentions,791,106
Tweet1301MentionsUser74,Mentions,1301,74
Tweet621MentionsUser119,Mentions,621,119
Tweet187MentionsUser24,Mentions,187,24
Tweet221MentionsUser43,Mentions,221,43
Tweet988MentionsUser66,Mentions,988,66
Tweet1353MentionsUser33,Mentions,1353,33
Tweet391MentionsUser124,Mentions,391,124
Tweet782MentionsUser9,Mentions,782,9
Tweet304MentionsUser42,Mentions,304,42
Tweet945MentionsUser67,Mentions,945,67
Tweet1433MentionsUser125,Mentions,1433,125
Tweet595MentionsUser126,Mentions,595,126
Tweet605MentionsUser50,Mentions,605,50
Tweet1551MentionsUser67,Mentions,1551,67
Tweet647MentionsUser39,Mentions,647,39
Tweet235MentionsUser84,Mentions,235,84
Tweet504MentionsUser133,Mentions,504,133
Tweet859MentionsUser101,Mentions,859,101
Tweet513MentionsUser121,Mentions,513,121
Tweet1105MentionsUser131,Mentions,1105,131
Tweet916MentionsUser125,Mentions,916,125
Tweet1145MentionsUser115,Mentions,1145,115
Tweet1343MentionsUser43,Mentions,1343,43
Tweet1553MentionsUser119,Mentions,1553,119
Tweet1332MentionsUser21,Mentions,1332,21
Tweet1646MentionsUser51,Mentions,1646,51
Tweet1213MentionsUser68,Mentions,1213,68
Tweet1418MentionsUser135,Mentions,1418,135
Tweet979MentionsUser34,Mentions,979,34
Tweet1223MentionsUser104,Mentions,1223,104
Tweet683MentionsUser130,Mentions,683,130
Tweet1252MentionsUser111,Mentions,1252,111
Tweet282MentionsUser11,Mentions,282,11
Tweet390MentionsUser117,Mentions,390,117
Tweet692MentionsUser30,Mentions,692,30
Tweet1134MentionsUser79,Mentions,1134,79
Tweet484MentionsUser107,Mentions,484,107
Tweet1397MentionsUser117,Mentions,1397,117
Tweet901MentionsUser4,Mentions,901,4
Tweet906MentionsUser69,Mentions,906,69
Tweet1388MentionsUser114,Mentions,1388,114
Tweet1525MentionsUser74,Mentions,1525,74
