"~id",~label,~from,~to
User107FollowsUser52,Follows,107,52
User65FollowsUser144,Follows,65,144
User59FollowsUser66,Follows,59,66
User12FollowsUser119,Follows,12,119
User137FollowsUser105,Follows,137,105
User88FollowsUser128,Follows,88,128
User50FollowsUser32,Follows,50,32
User94FollowsUser137,Follows,94,137
User105FollowsUser112,Follows,105,112
User26FollowsUser144,Follows,26,144
User26FollowsUser97,Follows,26,97
User10FollowsUser109,Follows,10,109
User53FollowsUser35,Follows,53,35
User46FollowsUser145,Follows,46,145
User88FollowsUser20,Follows,88,20
User32FollowsUser31,Follows,32,31
User134FollowsUser17,Follows,134,17
User26FollowsUser31,Follows,26,31
User47FollowsUser53,Follows,47,53
User70FollowsUser131,Follows,70,131
User138FollowsUser83,Follows,138,83
User48FollowsUser61,Follows,48,61
User46FollowsUser70,Follows,46,70
User139FollowsUser96,Follows,139,96
User45FollowsUser136,Follows,45,136
User109FollowsUser92,Follows,109,92
User58FollowsUser32,Follows,58,32
User84FollowsUser146,Follows,84,146
User13FollowsUser89,Follows,13,89
User24FollowsUser119,Follows,24,119
User75FollowsUser83,Follows,75,83
User32FollowsUser68,Follows,32,68
User108FollowsUser116,Follows,108,116
User100FollowsUser6,Follows,100,6
User88FollowsUser105,Follows,88,105
User55FollowsUser44,Follows,55,44
User35FollowsUser46,Follows,35,46
User49FollowsUser117,Follows,49,117
User72FollowsUser127,Follows,72,127
User41FollowsUser131,Follows,41,131
User49FollowsUser82,Follows,49,82
User20FollowsUser41,Follows,20,41
User143FollowsUser104,Follows,143,104
User6FollowsUser20,Follows,6,20
User135FollowsUser147,Follows,135,147
User12FollowsUser88,Follows,12,88
User48FollowsUser72,Follows,48,72
User136FollowsUser95,Follows,136,95
User85FollowsUser144,Follows,85,144
User88FollowsUser35,Follows,88,35
User75FollowsUser69,Follows,75,69
User118FollowsUser71,Follows,118,71
User22FollowsUser1,Follows,22,1
User32FollowsUser1,Follows,32,1
User85FollowsUser41,Follows,85,41
User31FollowsUser85,Follows,31,85
User109FollowsUser120,Follows,109,120
User84FollowsUser37,Follows,84,37
User108FollowsUser126,Follows,108,126
User137FollowsUser80,Follows,137,80
User142FollowsUser69,Follows,142,69
User108FollowsUser21,Follows,108,21
User144FollowsUser56,Follows,144,56
User109FollowsUser31,Follows,109,31
User54FollowsUser76,Follows,54,76
User58FollowsUser21,Follows,58,21
User65FollowsUser15,Follows,65,15
User113FollowsUser32,Follows,113,32
User20FollowsUser101,Follows,20,101
User24FollowsUser76,Follows,24,76
User82FollowsUser41,Follows,82,41
User86FollowsUser3,Follows,86,3
User54FollowsUser58,Follows,54,58
User19FollowsUser9,Follows,19,9
User98FollowsUser109,Follows,98,109
User80FollowsUser94,Follows,80,94
User52FollowsUser26,Follows,52,26
User56FollowsUser43,Follows,56,43
User130FollowsUser94,Follows,130,94
User42FollowsUser12,Follows,42,12
User29FollowsUser79,Follows,29,79
User27FollowsUser73,Follows,27,73
User68FollowsUser13,Follows,68,13
User64FollowsUser81,Follows,64,81
User82FollowsUser128,Follows,82,128
User116FollowsUser1,Follows,116,1
User79FollowsUser121,Follows,79,121
User78FollowsUser24,Follows,78,24
User95FollowsUser136,Follows,95,136
User37FollowsUser116,Follows,37,116
User30FollowsUser44,Follows,30,44
User74FollowsUser47,Follows,74,47
User48FollowsUser41,Follows,48,41
User113FollowsUser99,Follows,113,99
