"~id",~label,~from,~to
User82LikesTweet708,Likes,82,708
User27LikesTweet671,Likes,27,671
User149LikesTweet867,Likes,149,867
User16LikesTweet797,Likes,16,797
User115LikesTweet282,Likes,115,282
User147LikesTweet265,Likes,147,265
User56LikesTweet319,Likes,56,319
User119LikesTweet1475,Likes,119,1475
User70LikesTweet1037,Likes,70,1037
User100LikesTweet530,Likes,100,530
User99LikesTweet1411,Likes,99,1411
User127LikesTweet684,Likes,127,684
User118LikesTweet1607,Likes,118,1607
User138LikesTweet352,Likes,138,352
User123LikesTweet1483,Likes,123,1483
User6LikesTweet1234,Likes,6,1234
User2LikesTweet848,Likes,2,848
User28LikesTweet358,Likes,28,358
User103LikesTweet1211,Likes,103,1211
User27LikesTweet1415,Likes,27,1415
User2LikesTweet1143,Likes,2,1143
User146LikesTweet1219,Likes,146,1219
User48LikesTweet1388,Likes,48,1388
User94LikesTweet1211,Likes,94,1211
User61LikesTweet917,Likes,61,917
User34LikesTweet318,Likes,34,318
User27LikesTweet903,Likes,27,903
User9LikesTweet1441,Likes,9,1441
User18LikesTweet1161,Likes,18,1161
User11LikesTweet186,Likes,11,186
User10LikesTweet1489,Likes,10,1489
User3LikesTweet960,Likes,3,960
User71LikesTweet1368,Likes,71,1368
User93LikesTweet1280,Likes,93,1280
User56LikesTweet1107,Likes,56,1107
User68LikesTweet1078,Likes,68,1078
User52LikesTweet861,Likes,52,861
User146LikesTweet844,Likes,146,844
User37LikesTweet229,Likes,37,229
User88LikesTweet212,Likes,88,212
User17LikesTweet756,Likes,17,756
User124LikesTweet619,Likes,124,619
User69LikesTweet681,Likes,69,681
User92LikesTweet355,Likes,92,355
User127LikesTweet377,Likes,127,377
User74LikesTweet220,Likes,74,220
User27LikesTweet567,Likes,27,567
User80LikesTweet1378,Likes,80,1378
User21LikesTweet1208,Likes,21,1208
User73LikesTweet818,Likes,73,818
User97LikesTweet1117,Likes,97,1117
User73LikesTweet849,Likes,73,849
User123LikesTweet1509,Likes,123,1509
User143LikesTweet1179,Likes,143,1179
User148LikesTweet676,Likes,148,676
User130LikesTweet1130,Likes,130,1130
User56LikesTweet899,Likes,56,899
User18LikesTweet937,Likes,18,937
User106LikesTweet385,Likes,106,385
User52LikesTweet814,Likes,52,814
User17LikesTweet713,Likes,17,713
User30LikesTweet539,Likes,30,539
User148LikesTweet1079,Likes,148,1079
User31LikesTweet543,Likes,31,543
User37LikesTweet1105,Likes,37,1105
User119LikesTweet1171,Likes,119,1171
User90LikesTweet1264,Likes,90,1264
User19LikesTweet1050,Likes,19,1050
User72LikesTweet189,Likes,72,189
User81LikesTweet1109,Likes,81,1109
User75LikesTweet848,Likes,75,848
User39LikesTweet1614,Likes,39,1614
User133LikesTweet1631,Likes,133,1631
User64LikesTweet1442,Likes,64,1442
User74LikesTweet864,Likes,74,864
User142LikesTweet1295,Likes,142,1295
User94LikesTweet1632,Likes,94,1632
User79LikesTweet1588,Likes,79,1588
User109LikesTweet219,Likes,109,219
User126LikesTweet663,Likes,126,663
User83LikesTweet1351,Likes,83,1351
User87LikesTweet173,Likes,87,173
User119LikesTweet1323,Likes,119,1323
User48LikesTweet1497,Likes,48,1497
User74LikesTweet1117,Likes,74,1117
User48LikesTweet1084,Likes,48,1084
User43LikesTweet1089,Likes,43,1089
User20LikesTweet984,Likes,20,984
User103LikesTweet1581,Likes,103,1581
User21LikesTweet996,Likes,21,996
User64LikesTweet1084,Likes,64,1084
User38LikesTweet1041,Likes,38,1041
User143LikesTweet1568,Likes,143,1568
User144LikesTweet1240,Likes,144,1240
User31LikesTweet1099,Likes,31,1099
User136LikesTweet249,Likes,136,249
User26LikesTweet1191,Likes,26,1191
User58LikesTweet242,Likes,58,242
User97LikesTweet638,Likes,97,638
User93LikesTweet699,Likes,93,699
User94LikesTweet434,Likes,94,434
User126LikesTweet553,Likes,126,553
User122LikesTweet852,Likes,122,852
User133LikesTweet902,Likes,133,902
User13LikesTweet212,Likes,13,212
User34LikesTweet168,Likes,34,168
User13LikesTweet789,Likes,13,789
User132LikesTweet823,Likes,132,823
User127LikesTweet768,Likes,127,768
User144LikesTweet979,Likes,144,979
User110LikesTweet252,Likes,110,252
User38LikesTweet1213,Likes,38,1213
User99LikesTweet519,Likes,99,519
User112LikesTweet953,Likes,112,953
User135LikesTweet476,Likes,135,476
User103LikesTweet543,Likes,103,543
User53LikesTweet1417,Likes,53,1417
User65LikesTweet1484,Likes,65,1484
User28LikesTweet1572,Likes,28,1572
User42LikesTweet1533,Likes,42,1533
User37LikesTweet684,Likes,37,684
User23LikesTweet1210,Likes,23,1210
User38LikesTweet657,Likes,38,657
User138LikesTweet1216,Likes,138,1216
User20LikesTweet857,Likes,20,857
User55LikesTweet485,Likes,55,485
User34LikesTweet469,Likes,34,469
User65LikesTweet451,Likes,65,451
User40LikesTweet1542,Likes,40,1542
User103LikesTweet1610,Likes,103,1610
User143LikesTweet515,Likes,143,515
User107LikesTweet207,Likes,107,207
User79LikesTweet186,Likes,79,186
User112LikesTweet393,Likes,112,393
User44LikesTweet1485,Likes,44,1485
User81LikesTweet188,Likes,81,188
User65LikesTweet938,Likes,65,938
User68LikesTweet206,Likes,68,206
User15LikesTweet155,Likes,15,155
User52LikesTweet851,Likes,52,851
User106LikesTweet906,Likes,106,906
User59LikesTweet1459,Likes,59,1459
User14LikesTweet365,Likes,14,365
User19LikesTweet1254,Likes,19,1254
User72LikesTweet1116,Likes,72,1116
User52LikesTweet747,Likes,52,747
User127LikesTweet504,Likes,127,504
User102LikesTweet1068,Likes,102,1068
User95LikesTweet1368,Likes,95,1368
User4LikesTweet1637,Likes,4,1637
User86LikesTweet644,Likes,86,644
User13LikesTweet1327,Likes,13,1327
User127LikesTweet1303,Likes,127,1303
User83LikesTweet1204,Likes,83,1204
User103LikesTweet158,Likes,103,158
User131LikesTweet776,Likes,131,776
User53LikesTweet1103,Likes,53,1103
User59LikesTweet1261,Likes,59,1261
User43LikesTweet1063,Likes,43,1063
User49LikesTweet208,Likes,49,208
User30LikesTweet1159,Likes,30,1159
User55LikesTweet1556,Likes,55,1556
User15LikesTweet1383,Likes,15,1383
User95LikesTweet1355,Likes,95,1355
User111LikesTweet1144,Likes,111,1144
User38LikesTweet998,Likes,38,998
User142LikesTweet369,Likes,142,369
User71LikesTweet996,Likes,71,996
User71LikesTweet296,Likes,71,296
User132LikesTweet503,Likes,132,503
User140LikesTweet1160,Likes,140,1160
User85LikesTweet758,Likes,85,758
User130LikesTweet1532,Likes,130,1532
User68LikesTweet586,Likes,68,586
User59LikesTweet190,Likes,59,190
User113LikesTweet1213,Likes,113,1213
User95LikesTweet829,Likes,95,829
User78LikesTweet947,Likes,78,947
User131LikesTweet1261,Likes,131,1261
User60LikesTweet867,Likes,60,867
User118LikesTweet444,Likes,118,444
User142LikesTweet1195,Likes,142,1195
User138LikesTweet435,Likes,138,435
User42LikesTweet617,Likes,42,617
User117LikesTweet1084,Likes,117,1084
User67LikesTweet1424,Likes,67,1424
User34LikesTweet409,Likes,34,409
User59LikesTweet947,Likes,59,947
User132LikesTweet667,Likes,132,667
User120LikesTweet1296,Likes,120,1296
User86LikesTweet926,Likes,86,926
User6LikesTweet248,Likes,6,248
User121LikesTweet1091,Likes,121,1091
User126LikesTweet340,Likes,126,340
User104LikesTweet304,Likes,104,304
User97LikesTweet422,Likes,97,422
User95LikesTweet1335,Likes,95,1335
User126LikesTweet802,Likes,126,802
User37LikesTweet726,Likes,37,726
User41LikesTweet843,Likes,41,843
User71LikesTweet938,Likes,71,938
User40LikesTweet195,Likes,40,195
User69LikesTweet616,Likes,69,616
User131LikesTweet1150,Likes,131,1150
User71LikesTweet891,Likes,71,891
User58LikesTweet739,Likes,58,739
User74LikesTweet763,Likes,74,763
User28LikesTweet667,Likes,28,667
User145LikesTweet1306,Likes,145,1306
User62LikesTweet562,Likes,62,562
User5LikesTweet508,Likes,5,508
User138LikesTweet269,Likes,138,269
User84LikesTweet843,Likes,84,843
User23LikesTweet397,Likes,23,397
User149LikesTweet1594,Likes,149,1594
User130LikesTweet328,Likes,130,328
User131LikesTweet370,Likes,131,370
User50LikesTweet1169,Likes,50,1169
User103LikesTweet1180,Likes,103,1180
User92LikesTweet1440,Likes,92,1440
User27LikesTweet549,Likes,27,549
User5LikesTweet1183,Likes,5,1183
User37LikesTweet1303,Likes,37,1303
User79LikesTweet1334,Likes,79,1334
User121LikesTweet905,Likes,121,905
User78LikesTweet516,Likes,78,516
User135LikesTweet1615,Likes,135,1615
User93LikesTweet1215,Likes,93,1215
User22LikesTweet431,Likes,22,431
User10LikesTweet234,Likes,10,234
User75LikesTweet1224,Likes,75,1224
User122LikesTweet1399,Likes,122,1399
User64LikesTweet1000,Likes,64,1000
User70LikesTweet995,Likes,70,995
User62LikesTweet494,Likes,62,494
User14LikesTweet764,Likes,14,764
User118LikesTweet441,Likes,118,441
User57LikesTweet895,Likes,57,895
User29LikesTweet374,Likes,29,374
User56LikesTweet329,Likes,56,329
User27LikesTweet641,Likes,27,641
User1LikesTweet470,Likes,1,470
User129LikesTweet214,Likes,129,214
User8LikesTweet1581,Likes,8,1581
User42LikesTweet1236,Likes,42,1236
User16LikesTweet578,Likes,16,578
User117LikesTweet181,Likes,117,181
User101LikesTweet581,Likes,101,581
User71LikesTweet1502,Likes,71,1502
User83LikesTweet645,Likes,83,645
User20LikesTweet1442,Likes,20,1442
User100LikesTweet982,Likes,100,982
User70LikesTweet329,Likes,70,329
User119LikesTweet187,Likes,119,187
