"~id",~label,~from,~to
User75RetweetsTweet1164,Retweets,75,1164
User70RetweetsTweet287,Retweets,70,287
User114RetweetsTweet548,Retweets,114,548
User73RetweetsTweet515,Retweets,73,515
User7RetweetsTweet294,Retweets,7,294
User34RetweetsTweet748,Retweets,34,748
User70RetweetsTweet170,Retweets,70,170
User42RetweetsTweet1466,Retweets,42,1466
User123RetweetsTweet434,Retweets,123,434
User62RetweetsTweet1318,Retweets,62,1318
User84RetweetsTweet381,Retweets,84,381
User25RetweetsTweet1210,Retweets,25,1210
User113RetweetsTweet610,Retweets,113,610
User17RetweetsTweet264,Retweets,17,264
User142RetweetsTweet583,Retweets,142,583
User71RetweetsTweet756,Retweets,71,756
User111RetweetsTweet1260,Retweets,111,1260
User37RetweetsTweet1545,Retweets,37,1545
User68RetweetsTweet978,Retweets,68,978
User83RetweetsTweet453,Retweets,83,453
User130RetweetsTweet1153,Retweets,130,1153
User123RetweetsTweet1078,Retweets,123,1078
User59RetweetsTweet783,Retweets,59,783
User35RetweetsTweet1560,Retweets,35,1560
User82RetweetsTweet1362,Retweets,82,1362
User84RetweetsTweet1069,Retweets,84,1069
User20RetweetsTweet507,Retweets,20,507
User53RetweetsTweet162,Retweets,53,162
User49RetweetsTweet1240,Retweets,49,1240
User147RetweetsTweet1518,Retweets,147,1518
User104RetweetsTweet1605,Retweets,104,1605
User137RetweetsTweet373,Retweets,137,373
User46RetweetsTweet500,Retweets,46,500
User31RetweetsTweet554,Retweets,31,554
User143RetweetsTweet652,Retweets,143,652
User78RetweetsTweet1187,Retweets,78,1187
User64RetweetsTweet1487,Retweets,64,1487
User133RetweetsTweet937,Retweets,133,937
User58RetweetsTweet967,Retweets,58,967
User97RetweetsTweet1093,Retweets,97,1093
User57RetweetsTweet889,Retweets,57,889
User124RetweetsTweet372,Retweets,124,372
User35RetweetsTweet544,Retweets,35,544
User43RetweetsTweet1249,Retweets,43,1249
User112RetweetsTweet1129,Retweets,112,1129
User66RetweetsTweet424,Retweets,66,424
User25RetweetsTweet366,Retweets,25,366
User90RetweetsTweet250,Retweets,90,250
User5RetweetsTweet787,Retweets,5,787
User110RetweetsTweet956,Retweets,110,956
User9RetweetsTweet1109,Retweets,9,1109
User68RetweetsTweet208,Retweets,68,208
User125RetweetsTweet1597,Retweets,125,1597
User32RetweetsTweet238,Retweets,32,238
User81RetweetsTweet627,Retweets,81,627
User23RetweetsTweet975,Retweets,23,975
User97RetweetsTweet1434,Retweets,97,1434
User51RetweetsTweet1283,Retweets,51,1283
